COD_DANE_DEPARTAMENTO;Departamento;Cod_sec retaria;SECRETARIA;COD_DANE_MUNICIPIO;MUNICIPIO;EST_ID;Codigo Dane EE;Nombre EE;SEDE_ID;Codigo Dane Sede;Nombre Sede;Dirección Sede;Zona
23;Córdoba;3781;CORDOBA;23466;Montelíbano;14615;223466002479;INST EDU BELEN;76838;223466002479;INST EDU BELEN;BARRIO BELEN;RURAL
23;Córdoba;3781;CORDOBA;23162;Cerete;21017;123162001528;IE MARCELIANO POLO;70982;123162001528;IE MARCELIANO POLO;CALL. 18 # 5 - 97B EL PRADO;URBANA
23;Córdoba;3781;CORDOBA;23466;Montelíbano;14600;123466002601;INST. EDCCONCENTRACI¿N EDC.DEL SUR DE M/LIBANO;76630;123466002601;INST. EDCCONCENTRACIÓN EDC.DEL SUR DE M/LIBANO;B/27 DE JULIO CLL 5;URBANA
23;Córdoba;3781;CORDOBA;23815;Tuchín;13910;223670001333;INSTITUCION EDUCATIVA TECNICA ALVARO ULCUE CHOCUE;73952;223670001333;INSTITUCION EDUCATIVA TECNICA ALVARO ULCUE CHOCUE;CARRETERA VIA TUCHIN - LORICA;URBANA
23;Córdoba;3781;CORDOBA;23580;Puerto Libertador;14854;123580000783;IE GERMAN GOMEZ PELAEZ;76092;123580000783;IE GERMAN GIOMEZ PELAEZ;CLL 14 NO 9 02;URBANA
23;Córdoba;3781;CORDOBA;23555;Planeta Rica;14767;123555000477;INST. EDUC.SIMON BOLIVAR;73905;123555000477;INST. EDUC.SIMON BOLIVAR;CLL.18 CRA 16;URBANA
23;Córdoba;3781;CORDOBA;23419;Los Córdobas;20705;123419000803;I.E. LOS CORDOBAS;72399;123419000803;I.E. LOS CORDOBAS - SEDE PRINCIPAL;IND CLL PPAL;URBANA
23;Córdoba;3781;CORDOBA;23580;Puerto Libertador;14853;123580000210;IE JOSE MARIA CORDOBA;76103;123580000210;IE JOSE MARIA CORDOBA;CLL 7 NO 11 34;URBANA
23;Córdoba;3781;CORDOBA;23162;Cerete;21015;123162000271;IE 24 DE MAYO;70975;123162000271;IE 24 DE MAYO;CALL. 9A CRA. 24 Y 25 B. 24 DE MAYO;URBANA
23;Córdoba;3781;CORDOBA;23672;San Antero;13915;123672000054;INST. EDUC. JOSO ANTONIO GALAN;73967;123672000054;COLEGIO JOSÉ ANTONIO GALÁN;BARRIO EL PANTEÓN, CALLE MANGA;RURAL
23;Córdoba;3781;CORDOBA;23162;Cerete;21016;123162000459;I.E. DOLORES GARRIDO;70978;123162000459;I.E. DOLORES GARRIDO;IND CRA14;URBANA
23;Córdoba;3781;CORDOBA;23555;Planeta Rica;14765;123555000230;INST.EDUC.ALFONSO BUILES CORREA;73899;123555000230;INST.EDUC.ALFONSO BUILES CORREA;CLL.20 NO.16-15;URBANA
23;Córdoba;3781;CORDOBA;23162;Cerete;21014;123162000203;I. E. SANTA TERESA;70974;123162000203;I. E. SANTA TERESA;CALL. 9A # 15A - 48;URBANA
