,id,department,timecreated,rol,userid
121884,552,Departamento De Español y Literatura,1709549942,editingteacher,fa5d171c9280388b26a2569e9fccc7683ab3ec70b685b3f9cde7066eee987263
121885,319,Departamento De Informática Educativa,1709551598,editingteacher,6620b5d17f18eed1eb4d2d1cf4d7fe20c1dc49f0d6605d8395354762dceda8f7
121886,568,Departamento de Salud Pública,1709551692,editingteacher,eca7bf3a91ac9f5b18f1bc05d3c44326c4a70f9d746a1be09c49bb5fe6a7e8b7
121887,29,,1709555966,editingteacher,d6fccd5d02351b1c921506167eb6bd49e8203158ddd3426c0d86a95dfea89ff2
121888,366,Dpto De Ciencias Naturales,1709556334,editingteacher,9a94168caabfa08ab2e00e84ccae436d30338af9eedc28d8973e8ee824d776b2
121889,706,Departamento De Ciencias Jurídicas,1709557018,editingteacher,0ca8db7afaab56d714c075335a79f217e4d23522967ac1033d8a900a74a3cdc9
121890,538,Departamento De Ingeniería Industrial,1709558633,editingteacher,1be5fd44da02273da77f74611f2f53322de20bf71d68af93bb9b33f63510cd68
121891,446,Departamento De Ciencias Jurídicas,1709558821,editingteacher,9a901cbfc73368cfea858bd228e310fd982f08f7a6d798e15614622777a9d20c
121893,340,Dpto De Ciencias Naturales,1709559537,editingteacher,2bffc2cc3e17ffe99cac814afe0a42778676fc737d6dffa2ddf72421bf5994de
121894,428,Dpto De Ing Agronómica Y Desarroll Rural,1709560090,editingteacher,e897f214172c5bd6aac1bde7f560e56be51a3082e1ea2ec671fe7e6b152ff636
121896,534,Departamento De Ingeniería Industrial,1709562323,editingteacher,c1254cbc65b02c137ef8d1618d8e12d3d222fcb16ebf7cec1656c91ceeaf8938
121897,241,Dpto Ciencias Administrativas,1709562862,editingteacher,be8d65bdbc9ce092ca698aab0ca00ea0594e198075e86fc372f01e1c973bb187
121898,627,Departamento De Enfermería,1709563361,editingteacher,0cba5642182f80167a7e124edbbc348e5930ad7408e761e4f75baa8010b8bd9a
121899,767,Dpto Ciencias Administrativas,1709565560,editingteacher,0922a16422bbfba84f31e668b74aaa0ce4cab1895fe5f666463258df1b460d9d
121900,314,Departamento De Idiomas Extranjeros,1709565843,editingteacher,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969
121901,339,Departamento De Química,1709569229,editingteacher,9f0abdf148b0358a801ac740c52870e98bbe0a1aaea0849f3419cec7d4e36a9f
121902,84,Dpto De Ing De Sistemas Y Telecomunicaci,1709570166,editingteacher,7f96ab9d6522a742f68c85d7d71f584f611c98d6268766e26100b6e3bc655d6e
121903,108,Dpto De Ing De Sistemas Y Telecomunicaci,1709572231,editingteacher,b0a6c22cc314a0e2e4e2862890bccd8588b8ad92e1e4745e01f038af541fa945
121904,92,Dpto De Ing De Sistemas Y Telecomunicaci,1709572446,editingteacher,ac7948d4c5bfcd8394738fe3998779e4aadf987dd4201923620aa92b4aab9694
