id,department,total_logins
5,departamento de licenciatura en informatica,64
8,departamento de psicopedagogía,14
9,departamento de psicopedagogía,118
10,departamento de psicopedagogía,65
12,departamento de ing de sistemas y telecomunicaciones,30
13,departamento de psicopedagogía,10
14,departamento de psicopedagogía,3
15,departamento de psicopedagogía,14
21,departamento de enfermería,7
24,departamento de ingeniería mecánica,65
25,departamento de informática,3
26,departamento de ingeniería ambiental,39
27,departamento de informática educativa,48
35,departamento de ciencias administrativas,37
38,departamento de regencía y farmacia,26
45,departamento de ing de sistemas y telecomunicaciones,91
82,departamento de ing de sistemas y telecomunicaciones,87
83,departamento de ing de sistemas y telecomunicaciones,33
84,departamento de ing de sistemas y telecomunicaciones,46
85,departamento de ing de sistemas y telecomunicaciones,36
86,departamento de ing de sistemas y telecomunicaciones,82
87,departamento de ing de sistemas y telecomunicaciones,1
88,departamento de ing de sistemas y telecomunicaciones,8
89,departamento de ing de sistemas y telecomunicaciones,17
90,departamento de ing de sistemas y telecomunicaciones,1
91,departamento de ing de sistemas y telecomunicaciones,6
92,departamento de ing de sistemas y telecomunicaciones,2
95,departamento de ing de sistemas y telecomunicaciones,32
96,departamento de ing de sistemas y telecomunicaciones,21
97,departamento de ing de sistemas y telecomunicaciones,1
98,departamento de ing de sistemas y telecomunicaciones,13
100,departamento de ing de sistemas y telecomunicaciones,1
101,departamento de ing de sistemas y telecomunicaciones,58
103,departamento de ing de sistemas y telecomunicaciones,17
104,departamento de ing de sistemas y telecomunicaciones,34
105,departamento de ing de sistemas y telecomunicaciones,8
106,departamento de ing de sistemas y telecomunicaciones,83
107,departamento de ing de sistemas y telecomunicaciones,33
108,departamento de ing de sistemas y telecomunicaciones,52
109,departamento de ing de sistemas y telecomunicaciones,50
110,departamento de ing de sistemas y telecomunicaciones,122
111,departamento de ing de sistemas y telecomunicaciones,2
113,departamento de ing de sistemas y telecomunicaciones,3
114,departamento de ing de sistemas y telecomunicaciones,66
115,departamento de ing de sistemas y telecomunicaciones,63
128,departamento de biología,52
135,departamento de enfermería,5
151,departamento de biología,23
152,departamento de ciencias pecuarías,38
161,departamento de ciencias pecuarías,38
164,departamento de idiomas extranjeros,4
165,departamento de ciencias pecuarías,2
167,departamento de ciencias pecuarías,29
168,departamento de ciencias pecuarías,1
170,departamento de ciencias pecuarías,26
172,departamento de ciencias pecuarías,1
179,departamento de ciencias pecuarías,4
180,departamento de ciencias pecuarías,9
182,departamento de química,1
185,departamento de biología,26
186,departamento de química,47
190,departamento de ciencias pecuarías,5
193,departamento de ciencias administrativas,19
194,departamento de ciencias pecuarías,20
195,departamento de ciencias pecuarías,16
197,departamento de matemáticas y estadística,4
198,departamento de matemáticas y estadística,7
199,departamento de ciencias administrativas,19
200,departamento de ciencias administrativas,136
201,departamento de ciencias administrativas,44
204,departamento de salud pública,80
205,departamento de salud pública,128
206,departamento de salud pública,572
208,departamento de idiomas extranjeros,43
209,departamento de idiomas extranjeros,21
210,departamento de ciencias administrativas,76
211,departamento de ciencias administrativas,49
214,departamento de ciencias administrativas,128
215,departamento de ciencias administrativas,31
216,departamento de ciencias administrativas,83
218,departamento de matemáticas y estadística,30
220,departamento de ciencias administrativas,49
221,departamento de ciencias administrativas,41
222,departamento de ciencias administrativas,46
223,departamento de idiomas extranjeros,3
226,departamento de ciencias administrativas,71
227,departamento de ciencias administrativas,27
228,departamento de ciencias administrativas,22
229,departamento de ciencias administrativas,5
232,departamento de idiomas extranjeros,125
233,departamento de ciencias administrativas,58
235,departamento de ciencias administrativas,64
236,departamento de ciencias administrativas,29
237,departamento de ciencias administrativas,84
238,departamento de idiomas extranjeros,23
239,departamento de ciencias administrativas,32
240,departamento de ciencias administrativas,72
241,departamento de ciencias administrativas,108
242,departamento de ciencias administrativas,26
243,departamento de ciencias administrativas,79
244,departamento de ciencias administrativas,37
245,departamento de ciencias administrativas,110
246,departamento de ciencias administrativas,70
247,departamento de idiomas extranjeros,17
248,departamento de idiomas extranjeros,15
249,departamento de ciencias administrativas,27
250,departamento de ciencias administrativas,7
252,departamento de ingeniería industrial,27
254,departamento de ciencias administrativas,53
255,departamento de ciencias acuícolas,4
259,departamento de ciencias acuícolas,1
260,departamento de ciencias acuícolas,2
261,departamento de ciencias acuícolas,79
262,departamento de ciencias acuícolas,12
263,departamento de ciencias administrativas,64
266,departamento de ciencias acuícolas,1
267,departamento de ciencias acuícolas,21
268,departamento de informática educativa,102
269,departamento de español y literatura,6
270,"departamento de cultura física, recreacion y deporte",9
271,departamento de química,6
272,departamento de psicopedagogía,106
276,departamento de biología,14
277,departamento de biología,2
278,departamento de ing agronómica y desarrollo rural,35
282,departamento de ciencias acuícolas,1
284,departamento de biología,5
288,departamento de ciencias sociales,5
289,departamento de ciencias acuícolas,16
295,departamento de psicopedagogía,21
304,departamento de artes,16
311,departamento de psicopedagogía,52
312,departamento de psicopedagogía,1
314,departamento de idiomas extranjeros,35
317,departamento de idiomas extranjeros,1
319,departamento de informática educativa,200
320,departamento de idiomas extranjeros,2
321,departamento de psicopedagogía,51
323,departamento de idiomas extranjeros,35
324,departamento de idiomas extranjeros,2
325,departamento de informática educativa,80
326,departamento de español y literatura,1
329,departamento de biología,15
331,departamento de biología,25
332,departamento de biología,48
333,departamento de biología,69
334,departamento de biología,17
335,departamento de biología,9
336,departamento de biología,8
338,departamento de biología,45
339,departamento de química,43
340,departamento de ciencias naturales,79
344,departamento de química,23
345,departamento de química,52
346,departamento de química,41
347,departamento de química,8
354,departamento de matemáticas y estadística,6
355,departamento de ciencias naturales,26
357,departamento de ciencias naturales,40
359,departamento de psicopedagogía,82
360,departamento de ciencias jurídicas,37
361,departamento de psicopedagogía,21
364,departamento de ciencias naturales,11
365,departamento de ciencias naturales,1
366,departamento de ciencias naturales,6
372,departamento de ciencias naturales,1
373,"departamento de cultura física, recreacion y deporte",47
377,"departamento de cultura física, recreacion y deporte",4
378,"departamento de cultura física, recreacion y deporte",52
381,"departamento de cultura física, recreacion y deporte",3
382,"departamento de cultura física, recreacion y deporte",1
383,"departamento de cultura física, recreacion y deporte",2
